date,last7DaysRegistration_female,last7DaysRegistration_male,last7DaysRegistration_others,last7DaysRegistration_total,registration_female,registration_flwAndHcw,registration_male,registration_online,registration_onspot,registration_others,registration_today,registration_total,sessions_govt,sessions_pvt,sessions_today,sessions_total,sites_govt,sites_pvt,sites_today,sites_total,registration_cit_18_45,registration_cit_45_above
2021-04-03,"[1027691, 191342, 329329, 858281, 927193, 1412078, 1380292]","[1036842, 196153, 313028, 858392, 951268, 1512078, 1470154]","[242, 53, 86, 218, 250, 327, 334]","[2064775, 387548, 642443, 1716891, 1878711, 2924483, 2850780]",33820425.0,22972683.0,39753268.0,10419672.0,40191416.0,10066.0,2495825.0,73583771.0,7246072.0,782699.0,,8028771.0,48087.0,5662.0,,53749.0,,
2021-04-02,"[1199988, 1027691, 191342, 329329, 858281, 927193, 1412078]","[1233544, 1036842, 196153, 313028, 858392, 951268, 1512078]","[292, 242, 53, 86, 218, 250, 327]","[2433824, 2064775, 387548, 642443, 1716891, 1878711, 2924483]",32520585.0,22821764.0,38365612.0,10142965.0,37931224.0,9744.0,2658787.0,70895953.0,6937654.0,834341.0,,7771995.0,44767.0,5947.0,,50714.0,,
2021-04-01,"[1073371, 1199988, 1027691, 191342, 329329, 858281, 927193]","[1145920, 1233544, 1036842, 196153, 313028, 858392, 951268]","[320, 292, 242, 53, 86, 218, 250]","[2219611, 2433824, 2064775, 387548, 642443, 1716891, 1878711]",30888807.0,22648442.0,36632115.0,9756751.0,35125097.0,9356.0,2217607.0,67530290.0,7668809.0,913210.0,,8582019.0,49950.0,6440.0,,56390.0,,
2021-03-31,"[1066262, 1073371, 1199988, 1027691, 191342, 329329, 858281]","[1099811, 1145920, 1233544, 1036842, 196153, 313028, 858392]","[258, 320, 292, 242, 53, 86, 218]","[2166331, 2219611, 2433824, 2064775, 387548, 642443, 1716891]",29817874.0,22527585.0,35477383.0,9504746.0,33272051.0,9113.0,1870410.0,65304382.0,6681640.0,940645.0,,7622285.0,42502.0,6457.0,,48959.0,,
2021-03-30,"[1024548, 1066262, 1073371, 1199988, 1027691, 191342, 329329]","[1047285, 1099811, 1145920, 1233544, 1036842, 196153, 313028]","[208, 258, 320, 292, 242, 53, 86]","[2072041, 2166331, 2219611, 2433824, 2064775, 387548, 642443]",28891909.0,22385248.0,34527410.0,9225923.0,31817019.0,8859.0,1711109.0,63428190.0,6037699.0,898256.0,,6935955.0,39143.0,6101.0,,45244.0,,
2021-03-29,"[1277874, 1024548, 1066262, 1073371, 1199988, 1027691, 191342]","[1342960, 1047285, 1099811, 1145920, 1233544, 1036842, 196153]","[313, 208, 258, 320, 292, 242, 53]","[2621147, 2072041, 2166331, 2219611, 2433824, 2064775, 387548]",28024981.0,22258370.0,33660767.0,8956083.0,30479944.0,8637.0,619759.0,61694397.0,2989013.0,625085.0,,3614098.0,20475.0,4298.0,,24773.0,,
2021-03-28,"[307782, 1277874, 1024548, 1066262, 1073371, 1199988, 1027691]","[300116, 1342960, 1047285, 1099811, 1145920, 1233544, 1036842]","[107, 313, 208, 258, 320, 292, 242]","[608005, 2621147, 2072041, 2166331, 2219611, 2433824, 2064775]",27706240.0,22206176.0,33357798.0,8830999.0,30035433.0,8558.0,385518.0,61072608.0,2330401.0,393705.0,,2724106.0,16168.0,2708.0,,18876.0,,
2021-03-27,"[1114965, 307782, 1277874, 1024548, 1066262, 1073371, 1199988]","[1155349, 300116, 1342960, 1047285, 1099811, 1145920, 1233544]","[221, 107, 313, 208, 258, 320, 292]","[2270535, 608005, 2621147, 2072041, 2166331, 2219611, 2433824]",27512744.0,22182035.0,33159356.0,8722773.0,29775811.0,8507.0,2058304.0,60680619.0,5763249.0,752308.0,,6515557.0,38849.0,5700.0,,44549.0,,
2021-03-26,"[1139813, 1114965, 307782, 1277874, 1024548, 1066262, 1073371]","[1213147, 1155349, 300116, 1342960, 1047285, 1099811, 1145920]","[296, 221, 107, 313, 208, 258, 320]","[2353256, 2270535, 608005, 2621147, 2072041, 2166331, 2219611]",26446668.0,22000639.0,32084153.0,8455221.0,28083225.0,8252.0,2350594.0,58539085.0,6522476.0,768247.0,,7290723.0,44036.0,5868.0,,49904.0,,
2021-03-25,"[946414, 1139813, 1114965, 307782, 1277874, 1024548, 1066262]","[1090537, 1213147, 1155349, 300116, 1342960, 1047285, 1099811]","[244, 296, 221, 107, 313, 208, 258]","[2037195, 2353256, 2270535, 608005, 2621147, 2072041, 2166331]",25280995.0,21815072.0,30884973.0,8218928.0,26139947.0,7967.0,2205067.0,56173947.0,6031117.0,779820.0,,6810937.0,40473.0,5922.0,,46395.0,,
