Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
7038183.0,Bihar,8713263.0,1675080.0,130948,2021-05-14
3931468.0,Haryana,4833697.0,902229.0,51412,2021-05-14
206572.0,Chandigarh,278699.0,72127.0,4519,2021-05-14
5044873.0,Chhattisgarh,6095570.0,1050697.0,37943,2021-05-14
42759.0,Dadra and Nagar Haveli,54475.0,11716.0,1471,2021-05-14
3381649.0,Delhi,4390592.0,1008943.0,5337,2021-05-14
332990.0,Goa,425521.0,92531.0,6638,2021-05-14
11180770.0,Gujarat,15019896.0,3839126.0,32064,2021-05-14
6290354.0,Kerala,8259812.0,1969458.0,44502,2021-05-14
85688.0,Ladakh,122800.0,37112.0,414.0,2021-05-13
44269.0,Daman and Diu,56679.0,12410.0,1629.0,2021-05-13
5202998.0,Odisha,6575980.0,1372982.0,47199.0,2021-05-13
7402933.0,Madhya Pradesh,9034702.0,1631769.0,101659.0,2021-05-13
15499282.0,Maharashtra,19530640.0,4031358.0,341240.0,2021-05-13
295024.0,Manipur,364547.0,69523.0,5824.0,2021-05-13
313442.0,Meghalaya,386756.0,73314.0,9317.0,2021-05-13
237420.0,Mizoram,288186.0,50766.0,1989.0,2021-05-13
180874.0,Nagaland,232245.0,51371.0,3113.0,2021-05-13
180489.0,Puducherry,228252.0,47763.0,2483.0,2021-05-13
1907366.0,Uttarakhand,2578678.0,671312.0,30781.0,2021-05-13
3460222.0,Punjab,4157568.0,697346.0,32981.0,2021-05-13
11987039.0,Rajasthan,14934512.0,2947473.0,100426.0,2021-05-13
165948.0,Sikkim,224984.0,59036.0,1757.0,2021-05-13
5092140.0,Tamil Nadu,6951309.0,1859169.0,75734.0,2021-05-13
4442464.0,Telangana,5479812.0,1037348.0,30721.0,2021-05-13
974828.0,Tripura,1479866.0,505038.0,7790.0,2021-05-13
21428.0,Lakshadweep,28229.0,6801.0,41.0,2021-05-13
6267551.0,Kerala,8212961.0,1945410.0,26266.0,2021-05-13
8851449.0,Karnataka,11205478.0,2354029.0,86129.0,2021-05-13
2782611.0,Jharkhand,3428810.0,646199.0,20692.0,2021-05-13
2290511.0,Jammu and Kashmir,2811983.0,521472.0,4897.0,2021-05-13
1757908.0,Himachal Pradesh,2175417.0,417509.0,29137.0,2021-05-13
3886385.0,Haryana,4765647.0,879262.0,85838.0,2021-05-13
11145747.0,Gujarat,14975803.0,3830056.0,177684.0,2021-05-13
327646.0,Goa,418484.0,90838.0,7042.0,2021-05-13
3378261.0,Delhi,4385905.0,1007644.0,123470.0,2021-05-13
41699.0,Dadra and Nagar Haveli,52954.0,11255.0,1300.0,2021-05-13
5028824.0,Chhattisgarh,6046459.0,1017635.0,38524.0,2021-05-13
202829.0,Chandigarh,273766.0,70937.0,4092.0,2021-05-13
6907777.0,Bihar,8568033.0,1660256.0,139372.0,2021-05-13
2556294.0,Assam,3280423.0,724129.0,44310.0,2021-05-13
